"filename", "language", "C", "RISC-V Assembly", "LinkerScript", "C++", "Batch", "Shell Script", "Markdown", "Makefile", "JSON", "CMake", "CMake Cache", "Log", "TypeScript", "comment", "blank", "total"
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\CMakeFiles\loader.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 51, 55, 219
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\loader\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 6, 20
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\CMakeFiles\shell.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 47, 47, 183
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\shell\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\10 fork.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\11 exec.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15, 30
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\1_bios.md", "Markdown", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 43, 92
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\2_loader.md", "Markdown", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 116, 266
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\3_interrupt.md", "Markdown", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 66, 122
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\4_printf.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\5_task_sche.md", "Markdown", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 70, 133
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\6_mutex.md", "Markdown", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 19, 35
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\7 memory.md", "Markdown", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 77, 149
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\8 process.md", "Markdown", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 59, 105
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\note\9 syscall.md", "Markdown", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 43, 72
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\img-write-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 16, 10, 44
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\img-write-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 15, 11, 44
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\img-write-win.bat", "Batch", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 49
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\qemu-debug-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\qemu-debug-osx.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\script\qemu-debug-win.bat", "Batch", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\applib\crt0.S", "RISC-V Assembly", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\applib\cstart.c", "C", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 99
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\boot\boot.c", "C", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\boot\boot.h", "C", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\boot\start.S", "RISC-V Assembly", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 58
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\comm\boot_info.h", "C", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\comm\cpu_instr.h", "C", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40, 146
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\comm\elf.h", "C", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\comm\types.h", "C", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\core\memory.c", "C", 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 120, 530
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 37
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\core\task.c", "C", 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 185, 712
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 99
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 78, 352
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\dev\timer.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 41
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\fs\fs.c", "C", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 85
